Any,Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. De 65 anys i més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. De 65 anys i més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. De 65 anys i més
2019,430287,"Bisbal del Penedès, la",252,1.237,373,230,1.071,365,482,2.308,738
2019,172348,Biure,11,72,35,12,70,32,23,142,67
2019,430290,Blancafort,22,129,47,23,111,57,45,240,104
2019,170237,Blanes,2.862,13.201,3.293,2.730,12.819,4.123,5.592,26.020,7.416
2019,170293,Boadella i les Escaules,12,89,29,18,76,28,30,165,57
2019,170242,Bolvir,27,132,32,16,119,43,43,251,75
2019,430304,Bonastre,62,239,56,63,216,52,125,455,108
2019,250576,"Bòrdes, Es",17,102,25,17,77,21,34,179,46
2019,170255,Bordils,154,604,129,141,591,160,295,1.195,289
2019,250582,"Borges Blanques, les",478,2.048,579,443,1.814,725,921,3.862,1.304
2019,430311,"Borges del Camp, les",190,688,172,153,614,220,343,1.302,392
2019,170268,Borrassà,74,239,61,63,211,66,137,450,127
2019,080240,Borredà,22,171,60,16,121,55,38,292,115
2019,250595,Bossòst,70,382,90,81,374,112,151,756,202
2019,430326,Bot,28,168,99,21,148,109,49,316,208
2019,430332,Botarell,93,387,69,100,341,78,193,728,147
2019,250560,Bovera,8,79,46,9,55,50,17,134,96
2019,430347,Bràfim,73,218,66,54,191,90,127,409,156
2019,170274,Breda,232,1.243,361,265,1.190,449,497,2.433,810
2019,080253,"Bruc, el",205,758,144,174,635,134,379,1.393,278
2019,080266,"Brull, el",28,99,18,23,74,21,51,173,39
2019,170280,Brunyola i Sant Martí Sapresa,23,124,48,24,114,50,47,238,98
2019,430350,Cabacés,19,97,39,26,74,43,45,171,82
2019,250609,Cabanabona,2,28,6,2,18,19,4,46,25
2019,170314,Cabanelles,27,103,24,19,72,34,46,175,58
2019,170307,Cabanes,70,323,107,72,273,103,142,596,210
2019,080272,"Cabanyes, les",100,326,62,86,318,72,186,644,134
2019,250616,Cabó,2,31,16,4,24,15,6,55,31
2019,430363,Cabra del Camp,90,406,112,78,366,111,168,772,223
2019,080288,Cabrera d'Anoia,124,544,101,90,448,103,214,992,204
2019,080291,Cabrera de Mar,366,1.584,398,351,1.576,405,717,3.160,803
2019,080305,Cabrils,614,2.547,521,619,2.582,556,1.233,5.129,1.077
2019,170329,Cadaqués,183,929,210,198,938,254,381,1.867,464
2019,080312,Calaf,306,1.140,329,292,1.060,408,598,2.200,737
2019,430379,Calafell,2.113,8.807,2.442,1.845,8.505,2.826,3.958,17.312,5.268
2019,080348,Calders,73,342,84,70,304,97,143,646,181
2019,080327,Caldes d'Estrac,212,970,244,207,989,360,419,1.959,604
2019,170335,Caldes de Malavella,659,2.589,580,641,2.482,690,1.300,5.071,1.270
2019,080333,Caldes de Montbui,1.454,5.915,1.376,1.317,5.676,1.816,2.771,11.591,3.192
2019,080351,Calella,1.403,6.337,1.599,1.315,6.137,2.278,2.718,12.474,3.877
2019,080370,Calldetenes,193,853,213,201,799,230,394,1.652,443
2019,080386,Callús,203,712,146,193,665,221,396,1.377,367
2019,080364,Calonge de Segarra,9,63,20,10,51,35,19,114,55
2019,170340,Calonge i Sant Antoni,870,3.665,1.036,741,3.631,1.149,1.611,7.296,2.185
