Municipi;Comarca;Codi;Altitud(m);Superfície(km2);Població;
Premià de Dalt;Maresme;082303 ;142;6.57;10441;
Premià de Mar;Maresme;081727 ;8;2.11;28531;
Preses. les;Garrotxa;171390;474;9.39;1855;
Prullans;Cerdanya;251790;1 096;21.21;226;
Puigcerdà;Cerdanya;171411;1 202;18.92;9486;
Puigdàlber;Alt Penedès;081748 ;239;0.4;524;
Puiggròs;Garrigues;251804;334;9.9;278;
Puigpelat;Alt Camp;431191;252;9.48;1163;
Puig-reig;Berguedà;081751 ;455;45.75;4295;
Puigverd d'Agramunt;Urgell;251811;366;17;229;
Puigverd de Lleida;Segrià;251826;219;12.51;1349;
Pujalt;Anoia;081764 ;770;31.43;210;
Quar. la;Berguedà;081770 ;885;38.25;49;
Quart;Gironès;171426;91;38.09;3798;
Queralbs;Ripollès;170433;1 236;93.47;188;
Querol;Alt Camp;431205;565;72.26;518;
Rabós;Alt Empordà;171432;106;45.1;184;
Rajadell;Bages;081786 ;361;45.53;534;
Rasquera;Ribera d'Ebre;431212;174;51.31;783;
Regencós;Baix Empordà;171447;78;6.27;276;
Rellinars;Vallès Occidental;081799 ;322;17.79;809;
Renau;Tarragonès;431227;175;8.22;162;
Reus;Baix Camp;431233;117;52.82;106168;
Rialp;Pallars Sobirà;251832;725;63.3;641;
Riba. la;Alt Camp;431248;263;7.99;585;
Riba-roja d'Ebre;Ribera d'Ebre;431251;76;99.14;1110;
Ribera d'Ondara;Segarra;259059;570;54.47;433;
Ribera d'Urgellet;Alt Urgell;251850;702;106.96;932;
Ribes de Freser;Ripollès;171450;912;41.87;1760;
Riells i Viabrea;Selva;171463;96;26.98;4153;
Riera de Gaià. la;Tarragonès;431264;28;8.76;1742;
Riner;Solsonès;251863;830;47.1;263;
Ripoll;Ripollès;171479;691;73.71;10803;
Ripollet;Vallès Occidental;081803 ;79;4.33;39179;
Riu de Cerdanya;Cerdanya;259139;1 173;12.34;93;
Riudarenes;Selva;171485;84;47.6;2204;
Riudaura;Garrotxa;171498;572;23.6;481;
Riudecanyes;Baix Camp;431270;195;17.1;1146;
Riudecols;Baix Camp;431286;299;19.46;1189;
Riudellots de la Selva;Selva;171501;98;13.12;2071;
Riudoms;Baix Camp;431299;125;32.43;6569;
Riumors;Alt Empordà;171518;7;6.54;246;
Roca del Vallès. la;Vallès Oriental;081810 ;123;36.9;10754;
Rocafort de Queralt;Conca de Barberà;431303;566;8.47;211;
Roda de Berà;Tarragonès;431310;57;16.5;6785;
Roda de Ter;Osona;081831 ;443;2.23;6490;
Rodonyà;Alt Camp;431325;312;8.49;494;
Roquetes;Baix Ebre;431331;14;136.92;8079;
Roses;Alt Empordà;171523;5;45.91;19807;
